year,month,catch_pw_kg,effort_das,obs_cpue,hcr_cpue
2013,8,337310.3615,398,847.5134711,895.2491295
2013,9,243131.9814,336,723.6070876,766.5175981
2013,10,213512.9294,325,656.9628598,684.3515444
2013,11,348479.03,420,829.7119762,793.3718683
2013,12,288166.8781,327,881.2442756,859.2761738
2014,1,346582.1637,383,904.9142654,893.5047425
2014,2,212832.4351,341,624.1420384,691.4827144
2014,3,203734.0035,383,531.9425678,571.8276044
2014,4,238675.7328,370,645.0695482,626.7590623
2014,5,193690.0082,365,530.6575568,554.6829331
2014,6,75951.18757,267,284.4613767,352.0167658
2014,7,126646.9508,259,488.984366,454.742466
2014,8,262738.3974,368,713.9630365,649.1578938
2014,9,240810.5083,335,718.8373383,701.4174772
2014,10,222275.5559,329,675.6095925,682.0615637
2014,11,246453.5693,384,641.8061702,651.8700185
2014,12,194813.1596,287,678.791497,672.0611274
2015,1,251098.9745,321,782.239796,754.6951288
2015,2,218370.784,346,631.1294337,662.0208575
2015,3,288900.758,388,744.5895825,723.9474012
2015,4,338326.5533,370,914.3960899,866.7839178
2015,5,195782.4986,350,559.3785673,636.229905
2015,6,238885.4119,392,609.4015608,616.1086469
2015,7,333382.8037,447,745.822827,713.394282
2015,8,105140.5362,344,305.6410937,407.5793907
2015,9,199130.3432,241,826.2669841,721.5950858
2015,10,269522.2199,429,628.2569229,651.5914636
2015,11,197602.3816,289,683.7452652,675.7068148
2015,12,225656.6717,281,803.0486537,771.213194
2016,1,300761.3707,239,1258.415777,1136.615131
2016,2,321289.4355,286,1123.389635,1126.696009
2016,3,340449.7666,350,972.713619,1011.209216
2016,4,374566.0392,372,1006.897955,1007.97577
2016,5,311053.0884,345,901.6031547,928.1963086
2016,6,224686.6935,363,618.9716075,696.2777828
2016,7,224509.0608,336,668.1817287,675.2057422
2016,8,229887.7846,320,718.399327,707.6009308
2016,9,271322.896,370,733.3051244,726.879076
2016,10,363732.3603,383,949.6928468,893.9894041
2016,11,376518.3652,319,1180.308355,1108.728617
2016,12,141395.6345,196,721.4062987,818.2368783
2017,1,287958.4968,326,883.3082723,867.0404238
2017,2,322961.5582,289,1117.514042,1054.895638
2017,3,315049.8462,333,946.0956342,973.295635
2017,4,249444.3568,292,854.261496,884.0200308
2017,5,421478.4446,401,1051.06844,1009.306338
2017,6,132806.2021,380,349.4900055,514.4440886
2017,7,235300.6732,368,639.4040033,608.1640246
2017,8,259757.1865,390,666.0440679,651.5740571
2017,9,328386.659,321,1023.011399,930.1520632
2017,10,407205.6884,358,1137.446057,1085.622559
2017,11,311664.0402,352,885.4092052,935.4625435
2017,12,187274.4027,239,783.5749067,821.5468159
2018,1,345631.3071,336,1028.664604,976.8851572
2018,2,310985.8515,363,856.7103347,886.7540403
2018,3,437769.9903,368,1189.592365,1113.882784
2018,4,335852.0922,349,962.3269119,1000.21588
2018,5,159830.5283,333,479.9715566,610.0326374
2018,6,249567.4705,486,513.5133138,537.6431447
2018,7,194834.8179,406,479.8887141,494.3273218
2018,8,171179.2731,382,448.1132804,459.6667907
2018,9,386889.5354,458,844.7369769,748.4694303
2018,10,505137.5386,415,1217.198888,1100.016524
2018,11,523145.7803,506,1033.884941,1050.417837
2018,12,291261.9043,306,951.8362885,976.4816756
2019,1,402936.5114,366,1100.91943,1069.809991
2019,2,324963.3872,413,786.8362886,857.5797143
2019,3,228520.3273,406,562.8579491,636.5383904
2019,4,209809.7014,359,584.4281376,597.4557008
2019,5,182242.4591,373,488.5856811,515.803186
2019,6,270771.1173,370,731.8138306,677.8111694
2019,7,275733.2238,407,677.4772084,677.5606987
2019,8,62235.3309,166,374.9116319,450.5738986
2019,9,130312.6149,213,611.796314,571.4907102
2019,10,299583.536,447,670.2092528,645.5296171
2019,11,271979.4157,458,593.841519,606.7635435
2019,12,147780.4092,263,561.9026964,573.1179082
2020,1,202463.1363,327,619.1533221,607.6444686
2020,2,283691.6016,430,659.7479106,646.7220501
2020,3,160672.9935,284,565.7499772,585.9929954
2020,4,91815.04971,262,350.439121,409.3275896
2020,5,165637.172,365,453.8004712,442.6822508
2020,6,251214.921,354,709.6466696,642.9055649
2020,7,349235.9935,414,843.5652016,793.4002924
2020,8,236185.9244,382,618.2877601,662.0658932
2020,9,158742.0228,312,508.7885347,547.1078744
2020,10,267108.8325,410,651.4849572,625.3906865
2020,11,305768.7694,430,711.0901614,689.6652926
2020,12,114443.1795,210,544.9675213,581.1419641
2021,1,182512.8151,246,741.9220125,701.7270004
2021,2,111989.1932,229,489.0357784,542.2085839
2021,3,186926.6812,390,479.2991826,495.0265329
2021,4,96564.11381,145,665.9594056,623.2261874
2021,5,47332.68341,58,816.0807484,767.8671081
2021,6,33806.785,120,281.7232083,403.2591833
2021,7,40984.44384,129,317.7088669,339.096446
2021,8,13719.042,41,334.6107806,335.7321969
2021,9,16581.23923,89,186.3060587,223.6625933
2021,10,28882.47083,59,489.533404,423.0657013
2021,11,58257.8876,73,798.0532548,704.3063664
2021,12,23423.75018,43,544.7383763,584.6303738
2022,1,107722.0986,165,652.8612037,635.8034962
2022,2,122201,186,656.9946237,651.6968418
2022,3,142651,182,783.7967033,750.7717379
2022,4,121657,137,888.0072993,853.6984089
2022,5,20097,49,410.1428571,521.0317451
2022,6,41921,52,806.1730769,734.887744
2022,7,72743,87,836.1264368,810.8167636
2022,8,50275,101,497.7722772,576.0333988
2022,9,33039,95,347.7789474,404.8425602
2022,10,18538,93,199.3333333,250.7106401
2022,11,18306,75,244.08,245.73766
2022,12,15241,76,200.5394737,211.8390203
